CODIGO	MUNICIPIO	ENDERECO	COORD_GEO_LAT_GRAU	COORD_GEO_LONG_GRAU	Altitude	RECURSO_HIDRICO	DATA_COLETA	ANO_COLETA	Alcalinidade	Condutividade	DBO	IQA_DBO	DQO	Escherichia coli	Fosfato orto	Fósforo total	IQA_Ptot	Nitrato	Nitrito	Nitrogênio orgânico	Nitrogênio amoniacal	Nitrogênio Kjeldahl	Nitrogênio total	IQA_NitroTot	Oxigênio dissolvido	%sat OD	IQA_OD	pH	IQA_pH	SDT	SST	Temperatura água	Temperatura ar	Transparência água	Turbidez	IQA_Turb	Vazao rio	Vazao	Coliformes termotol	IQA_coli	Sólidos totais	IQA_Sól_Tot	IQA_^OD	IQA_^temp_agua	IQA_^coli	IQA_^pH	IQA_^DBO	IQA_^NitroTot	IQA_^Ptot	IQA_^Turb	IQA_^Sól_Tot	IQA	latitude_corrigida	longitude_corrigida
87398950	GRAVATAI - RS	A PE NO TREVO, NA PONTE VELHA OU DE BARCO VINDO DA PRAINHA	-51,0006352	-29,9505472	7	RIO GRAVATAI	09/12/1992	1992		62,00	2,000	78,12	218	560,00		0,054	85,84								4,300	52,654	46,88	5,99	59,82			26,00			11,00	75,37			700,00	23,36	99	85,52	1,923	1,580	1,604	1,634	1,072		1,561	1,413	1,427	0,000	-29,9505472	-51,0006352
87398950	GRAVATAI - RS	A PE NO TREVO, NA PONTE VELHA OU DE BARCO VINDO DA PRAINHA	-51,0006352	-29,9505472	7	RIO GRAVATAI	16/06/1992	1992		42,00	1,000	88,37	76	240,00											7,900	79,525	85,79	8,10	86,40			16,00							300,00	29,99	76	86,08	2,132	1,580	1,665	1,708	1,000				1,428	0,000	-29,9505472	-51,0006352
87405500	CACHOEIRINHA - RS, PORTO ALEGRE - RS	DE BARCO, VINDO DO CLUBE ALBATROZ SUBINDO PARA CAHOEIRINHA	-51,1173349	-29,9505453	6	RIO GRAVATAI	09/12/1992	1992		196,00	21,000	10,02	71	12,80		0,470	32,95								13,070	171,718	47,00	8,07	86,88			30,00		20	8,60	80,00			16,00	60,44	178	76,90	1,924	1,580	1,850	1,709	1,356		1,418	1,420	1,415	0,000	-29,9505453	-51,1173349
87405500	CACHOEIRINHA - RS, PORTO ALEGRE - RS	DE BARCO, VINDO DO CLUBE ALBATROZ SUBINDO PARA CAHOEIRINHA	-51,1173349	-29,9505453	6	RIO GRAVATAI	12/05/1992	1992		115,00	4,000	61,05	84									2,000	2,000	84,89	2,400	27,286	18,58	6,19	69,31			22,00											1,643	1,580		1,663	1,149	1,559				0,000	-29,9505453	-51,1173349
87405500	CACHOEIRINHA - RS, PORTO ALEGRE - RS	DE BARCO, VINDO DO CLUBE ALBATROZ SUBINDO PARA CAHOEIRINHA	-51,1173349	-29,9505453	6	RIO GRAVATAI	05/11/1992	1992		105,00	3,000	69,06	38	18,40		0,171	61,79								2,900	32,971	23,49	6,34	74,99			22,00		20					23,00	56,03	127	83,28	1,710	1,580	1,829	1,679	1,116		1,510		1,424	0,000	-29,9505453	-51,1173349
87405500	CACHOEIRINHA - RS, PORTO ALEGRE - RS	DE BARCO, VINDO DO CLUBE ALBATROZ SUBINDO PARA CAHOEIRINHA	-51,1173349	-29,9505453	6	RIO GRAVATAI	16/06/1992	1992		34,00	2,000	78,12	72	7,20											6,700	66,015	69,37	6,18	68,81			15,00							9,00	68,03	93	85,78	2,056	1,580	1,883	1,662	1,072				1,428	0,000	-29,9505453	-51,1173349
87409900	CANOAS - RS, PORTO ALEGRE - RS	DE BARCO, VINDO DO CLUBE ALBATROZ, EM CANOAS	-51,1840353	-29,967144	9	RIO GRAVATAI	09/12/1992	1992		230,00	10,000	32,03	129	12,80		1,530	9,87								2,900	36,787	27,14	6,68	84,92			28,00		20	14,00	70,19			16,00	60,44	214	71,89	1,753	1,580	1,850	1,704	1,259		1,257	1,405	1,408	0,000	-29,967144	-51,1840353
87409900	CANOAS - RS, PORTO ALEGRE - RS	DE BARCO, VINDO DO CLUBE ALBATROZ, EM CANOAS	-51,1840353	-29,967144	9	RIO GRAVATAI	16/06/1992	1992		68,00	4,000	61,05	76	56,00											5,100	51,327	44,52	6,20	69,80			16,00							70,00	43,64	94	85,74	1,907	1,580	1,762	1,664	1,149				1,428	0,000	-29,967144	-51,1840353
87398950	GRAVATAI - RS	A PE NO TREVO, NA PONTE VELHA OU DE BARCO VINDO DA PRAINHA	-51,0006352	-29,9505472	7	RIO GRAVATAI	06/10/1993	1993		43,00	3,000	69,06	37	10,40		0,091	77,41					0,790	0,790	93,74	7,800	85,270	89,67	6,40	76,96			20,00			23,00	58,73			13,00	63,04	93	85,78	2,148	1,580	1,862	1,684	1,116	1,575	1,545	1,385	1,428	57,129	-29,9505472	-51,0006352
87398900	GRAVATAI - RS	A PE VINDO DE CARRO PELA POLICIA RODOVIARIA DA FREE-WAY OU PELA RS-118	-50,9341363	-29,9507487	6	RIO GRAVATAI	06/10/1993	1993		40,00	2,000	78,12	38	104,00		0,091	77,41					0,650	0,650	94,82	8,600	94,027	95,85	6,80	87,72			20,00		25	19,00	63,07			130,00	37,48	109	84,92	2,172	1,580	1,722	1,711	1,072	1,576	1,545	1,393	1,427	52,450	-29,9507487	-50,9341363
